Student Number,Folder 1,Folder 2,Folder 3,Folder 4,Folder 5,Folder 6,Folder 7,Folder 8,Folder 9,Folder 10,Folder 11,Folder 12,Solutions,Past Exam Paper,Course Help Files
1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3
8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4
9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
13,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5
16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,9,3,0,0,0,0,0,0,0,0,0,0,0,0,4
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
24,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2
26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2
31,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,4,2,0,0,0,0,0,0,0,0,0,0,0,0,5
33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
