Student Number,Folder 1,Folder 2,Folder 3,Folder 4,Folder 5,Folder 6,Folder 7,Folder 8,Folder 9,Folder 10,Folder 11,Folder 12,Solutions,Past Exam Paper,Course Help Files
1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2
7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,5
8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4
9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2
13,8,2,0,0,0,0,0,0,0,0,0,0,0,0,2
14,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0
15,5,2,0,0,0,0,0,0,0,0,0,0,0,0,5
16,6,1,0,0,0,0,0,0,0,0,0,0,0,0,3
17,9,3,0,0,0,0,0,0,0,0,0,0,0,0,4
18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
20,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2
21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2
22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5
23,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0
24,7,3,0,0,0,0,0,0,0,0,0,0,0,0,5
25,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2
26,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4
27,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3
28,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2
31,6,3,0,0,0,0,0,0,0,0,0,0,0,0,5
32,4,2,0,0,0,0,0,0,0,0,0,0,0,0,5
