Student Number,Folder 1,Folder 2,Folder 3,Folder 4,Folder 5,Folder 6,Folder 7,Folder 8,Folder 9,Folder 10,Folder 11,Folder 12,Solutions,Past Exam Paper,Course Help Files
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,4,3,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,0,6,7,4,0,0,0,0,0,0,0,0,0,0,0
5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,10,2,0,0,0,0,0,0,0,0,0,0,0
7,2,4,5,4,0,0,0,0,0,0,0,0,0,0,0
8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
10,2,1,6,4,0,0,0,0,0,0,0,0,0,0,0
11,1,8,5,5,0,0,0,0,0,0,0,0,0,0,0
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,0,8,3,0,0,0,0,0,0,0,0,0,0,0
14,2,1,6,3,0,0,0,0,0,0,0,0,0,0,0
15,0,1,13,3,0,0,0,0,0,0,0,0,0,0,0
16,2,3,6,2,0,0,0,0,0,0,0,0,0,0,0
17,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
21,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
24,0,5,10,6,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,1,7,3,0,0,0,0,0,0,0,0,0,0,0
28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
29,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0
30,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0
31,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
32,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0
33,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
34,2,9,12,5,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0
41,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
42,2,5,9,4,0,0,0,0,0,0,0,0,0,0,0
43,1,6,5,6,0,0,0,0,0,0,0,0,0,0,0
44,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,3,7,2,0,0,0,0,0,0,0,0,0,0,0
46,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0
47,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0
48,0,3,7,2,0,0,0,0,0,0,0,0,0,0,0
49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,1,5,10,5,0,0,0,0,0,0,0,0,0,0,0
51,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0
52,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0
53,0,9,7,4,0,0,0,0,0,0,0,0,0,0,0
54,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,9,9,5,0,0,0,0,0,0,0,0,0,0,0
57,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0
58,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
60,0,1,6,3,0,0,0,0,0,0,0,0,0,0,0
61,2,0,18,3,0,0,0,0,0,0,0,0,0,0,0
62,2,0,6,2,0,0,0,0,0,0,0,0,0,0,0
63,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
66,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
67,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0
68,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0
69,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0
70,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,3,4,6,2,0,0,0,0,0,0,0,0,0,0,0
73,1,2,4,3,0,0,0,0,0,0,0,0,0,0,0
74,1,0,8,3,0,0,0,0,0,0,0,0,0,0,0
75,1,5,4,5,0,0,0,0,0,0,0,0,0,0,0
76,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
77,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0
78,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
79,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0
80,2,2,5,4,0,0,0,0,0,0,0,0,0,0,0
81,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0
82,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0
83,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
87,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
88,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
89,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
90,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
91,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
92,2,6,4,5,0,0,0,0,0,0,0,0,0,0,0
93,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
94,0,7,13,4,0,0,0,0,0,0,0,0,0,0,0
95,2,5,7,4,0,0,0,0,0,0,0,0,0,0,0
96,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
97,1,2,9,3,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2,0,6,3,0,0,0,0,0,0,0,0,0,0,0
100,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
