Student.No,Core,Option,Elective,Registered,Registered.Repeat,Year1,Year2,Year3,Science,BA,Other,Female,Nationality
1,1,0,0,1,0,1,0,0,1,0,0,0,1
2,1,0,0,1,0,1,0,0,1,0,0,1,1
3,1,0,0,1,0,1,0,0,0,1,0,0,1
4,0,1,0,1,0,1,0,0,0,0,1,0,0
5,0,1,0,1,0,1,0,0,0,0,1,1,1
6,0,0,1,1,0,0,1,0,0,0,1,0,1
7,1,0,0,1,0,1,0,0,0,1,0,0,1
8,1,0,0,0,1,1,0,0,1,0,0,1,0
9,1,0,0,1,0,1,0,0,0,1,0,0,1
10,0,0,1,1,0,0,1,0,0,0,1,0,1
11,1,0,0,0,1,1,0,0,0,1,0,1,1
12,1,0,0,1,0,1,0,0,1,0,0,0,1
13,1,0,0,1,0,1,0,0,1,0,0,0,1
14,1,0,0,1,0,1,0,0,1,0,0,1,1
15,0,1,0,1,0,1,0,0,0,0,1,1,1
16,0,1,0,1,0,0,1,0,0,0,1,0,1
17,0,0,1,1,0,0,1,0,0,0,1,0,1
18,1,0,0,1,0,1,0,0,1,0,0,1,1
19,1,0,0,1,0,1,0,0,0,1,0,0,1
20,1,0,0,1,0,1,0,0,0,1,0,1,1
21,0,0,1,1,0,1,0,0,0,0,1,0,1
22,1,0,0,1,0,1,0,0,1,0,0,0,0
23,1,0,0,1,0,1,0,0,0,1,0,1,1
24,1,0,0,1,0,1,0,0,0,1,0,0,1
25,1,0,0,1,0,1,0,0,0,1,0,0,1
26,1,0,0,1,0,1,0,0,1,0,0,1,1
27,0,0,1,1,0,1,0,0,0,0,1,1,1
28,0,0,1,0,1,1,0,0,0,0,1,1,1
29,0,0,1,1,0,0,1,0,0,0,1,0,0
30,0,1,0,1,0,0,0,1,0,0,1,0,1
31,0,1,0,1,0,1,0,0,0,0,1,1,1
32,1,0,0,1,0,1,0,0,0,1,0,0,1
33,0,0,1,1,0,1,0,0,0,0,1,0,1
34,1,0,0,1,0,1,0,0,0,1,0,0,1
35,1,0,0,1,0,1,0,0,0,1,0,0,1
36,1,0,0,1,0,1,0,0,1,0,0,0,1
37,1,0,0,1,0,1,0,0,1,0,0,1,1
38,0,0,1,1,0,1,0,0,0,0,1,1,1
39,0,0,1,1,0,0,0,1,0,0,1,1,1
40,0,1,0,1,0,0,1,0,0,0,1,0,1
41,1,0,0,1,0,1,0,0,1,0,0,0,1
42,1,0,0,1,0,1,0,0,0,1,0,0,1
43,0,1,0,1,0,0,0,1,0,0,1,1,1
44,0,1,0,1,0,1,0,0,0,0,1,0,1
45,0,0,1,1,0,1,0,0,0,0,1,0,1
46,0,1,0,1,0,1,0,0,0,0,1,0,0
47,1,0,0,1,0,1,0,0,1,0,0,1,1
48,1,0,0,1,0,1,0,0,0,1,0,1,1
49,1,0,0,1,0,1,0,0,0,1,0,0,0
50,0,0,1,1,0,0,1,0,0,0,1,0,1
51,0,0,1,1,0,0,1,0,0,0,1,0,1
52,1,0,0,0,1,1,0,0,1,0,0,1,1
53,1,0,0,0,1,1,0,0,0,1,0,1,1
54,0,0,1,1,0,0,1,0,0,0,1,0,0
55,0,0,1,1,0,0,0,1,0,0,1,0,1
